global_pep_ID,local_pep_ID,frame,trajectory,target_status,pp_contacts,pl_contacts,dip_pp_contacts,dip_lp_contacts,hyd_lp_contacts,Ppep_Nlip_contacts,Npep_Plip_contacts,mean_separation,mean_apl
10,10,130,0,3,0,0,0,0,0,0,0,25.54068328789761,0.5814
22,22,130,0,1,0,26,0,3,10,1,0,11.812025507266227,0.5814
34,34,130,0,3,0,0,0,0,0,0,0,14.967327623767812,0.5814
10,10,131,0,3,0,0,0,0,0,0,0,25.44913750972559,0.5727
22,22,131,0,1,0,27,0,2,17,2,1,11.728933069863295,0.5727
34,34,131,0,3,0,1,0,1,0,0,2,14.897080505943467,0.5727
10,10,132,0,3,0,0,0,0,0,0,0,25.3678046538191,0.5791
22,22,132,0,1,0,21,0,1,20,1,1,11.648435151531594,0.5791
34,34,132,0,3,0,1,0,0,0,0,1,14.831532390697056,0.5791
10,10,133,0,3,0,0,0,0,0,0,0,25.274827745960277,0.5791
22,22,133,0,1,0,14,0,1,14,1,0,11.56832148664128,0.5791
34,34,133,0,3,0,0,0,0,0,0,1,14.785160711718156,0.5791
10,10,134,0,3,0,0,0,0,0,0,0,25.182438170277944,0.5738
22,22,134,0,1,0,19,0,5,19,1,0,11.488757020842591,0.5738
34,34,134,0,3,0,0,0,0,0,0,1,14.747147595751558,0.5738
10,10,135,0,3,0,0,0,0,0,0,0,25.113539310570943,0.5743
22,22,135,0,1,0,19,0,1,17,2,0,11.414250697068482,0.5743
34,34,135,0,3,0,0,0,0,0,0,0,14.703230108329391,0.5743
10,10,136,0,3,0,0,0,0,0,0,0,25.04936061304759,0.5742
22,22,136,0,1,0,18,0,3,16,2,1,11.33809076842848,0.5742
34,34,136,0,3,0,0,0,0,0,0,0,14.665287980116128,0.5742
10,10,137,0,3,0,0,0,0,0,0,0,24.975790880893346,0.5825
22,22,137,0,1,0,19,0,1,16,2,0,11.265027933045028,0.5825
34,34,137,0,3,0,0,0,0,0,0,0,14.637951409839532,0.5825
10,10,138,0,3,0,0,0,0,0,0,0,24.89475043070519,0.5751
22,22,138,0,1,0,16,0,0,16,1,0,11.18928877507334,0.5751
34,34,138,0,3,0,0,0,0,0,0,0,14.594393958115708,0.5751
10,10,139,0,3,0,0,0,0,0,0,0,24.794649015550576,0.5745999999999999
22,22,139,0,1,0,21,0,1,22,2,1,11.113859163443385,0.5745999999999999
34,34,139,0,3,0,0,0,0,0,0,0,14.551652585951103,0.5745999999999999
10,10,140,0,3,0,0,0,0,0,0,0,24.69776873798411,0.5307
22,22,140,0,1,0,19,0,1,18,2,1,11.043999386004815,0.5307
34,34,140,0,3,0,0,0,0,0,0,0,14.506513316551992,0.5307
10,10,141,0,3,0,0,0,0,0,0,0,24.613665053124407,0.5326000000000001
22,22,141,0,1,0,21,0,3,24,2,0,10.97282939927766,0.5326000000000001
34,34,141,0,3,0,0,0,0,0,0,0,14.459303993628136,0.5326000000000001
10,10,142,0,3,0,0,0,0,0,0,0,24.522226954485664,0.5368999999999999
